LANGUAGE,日本語
G011,: 目隠し将棋(中級)に設定
G012,: 目隠し将棋(上級)に設定
G013,: 目隠し将棋(超級)に設定
G014,: 目隠し将棋(中級)でプレイ中
G015,: 目隠し将棋(上級)でプレイ中
G016,: 目隠し将棋(超級)でプレイ中
G050,: 再戦スタンバイ
G100,: 観戦者のチャットをシャットアウトしました。
G101,: 観戦者のチャットを受信します。
G102,: 観戦者のチャットをシャットアウト中。
P000,さんが対局相手にPMを送信しました。
L000,ログイン名またはパスワードが違います
L001,ログイン出来ません
L002,ゴーストのオーバーライドに失敗
L003,ログインに失敗しました
V000,直通ボイスチャット接続!
V001,さんの公開ボイスチャット受信!
V002,視聴を中止しました。
V003,公開ボイスチャットに接続リクエスト中...
V004,公開感想戦の視聴リクエストを対局者に送信しました。
