LANGUAGE,Polski
msg_addlist,Tymczasowo dodano do listy. Przejdź do Okna Ustawień, aby zapisać na stałe lub anulować.
msg_addlist_favorite: "Added to the favorite list temporarily. Go to Option Window to set it permanent or cancel.",Tymczasowo dodano do listy przyjaciół. Przejdź do Okna Ustawień, aby zapisać na stałe lub anulować.
msg_addlist_block: "Added to the block list temporarily. Go to Option Window to set it permanent or cancel.",Tymczasowo dodano do listy zablokowanych. Przejdź do Okna Ustawień, aby zapisać na stałe lub anulować.
C000,Przeciwnik jest zajęty odpowiadaniem na inne wyzwanie.
C001,Nie można zaproponować gry, ponieważ wkrótce odbędzie się konserwacja serwera.
C002,Przeciwnik właśnie rozpoczyna rozgrywkę.
C003,Przeciwnik nie opowiedział w wyznaczonym limicie czasu.
C004,Przeciwnik odrzucił twoje wyzwanie.
C005,Wyzwanie zaakceptowane!
C010, obecnie nie akceptuje zaproszeń.
C011, gra z innym użytkownikiem.
C012, jest w tym momencie zajęty odpowiadaniem na inne wyzwanie.
C013, nie odpowiedział(a) w wyznaczonym limicie czasu.
C014, odrzucił(a) zaproszenie.
C015, odrzucił(a) zaproszenie. (Jestem zajęty/a)
C016, odrzucił(a) zaproszenie. (Preferuję inne zasady)
C017, odrzucił(a) zaproszenie. (Preferuję krótszy czas gry)
C018, odrzucił(a) zaproszenie. (Preferuję dłuższy czas gry)
C019, odrzucił(a) zaproszenie. (Preferuję grę rankingową)
C020, odrzucił(a) zaproszenie. (Czekam na kogoś innego)
G000,: Opuszczenie pozycji Hosta.
G001,: Powrót do pozycji Hosta.
G002,
G003,: Wykasowano wariant.
G010,: Ustawiono figury na normalne.
G011,: Ustawiono grę "na ślepo", poziom Średni.
G012,: Ustawiono grę "na ślepo", poziom Trudny.
G013,: Ustawiono grę "na ślepo", poziom Ekstremalny.
G014, gra "na ślepo", poziom Średni.
G015, gra "na ślepo", poziom Trudny.
G016, gra "na ślepo", poziom Ekstremalny.
G050,: Zaproponował rewanż. 
G100,: Czat widzów został zablokowany.
G101,: Czat widzów jest odbierany.
G102, obecnie blokuje czat widzów.
P000, wysłał(a) wiadomość prywatną do przeciwnika.
L000,Nazwa lub hasło jest błędne.
L001,Nie można zalogować.
L002,Nadpisanie loginu nie powiodło się.
L003,Logowanie nie powiodło się.
V000,Bezpośredni czat głosowy włączony!
V001,: otrzymujesz czat głosowy użytkownika!
V002,Przestał odbierać czat głosowy.
V003,Wysyłanie żądania połączenia do publicznego czatu głosowego...
